ACFT_SERIES,ICAO,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
B727 2M7 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2N6 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2N8 ADV,B722,JT8D-17R,3,B722,,J,1PW016
B727 2P1 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2Q9 F ADV,B722,JT8D-17R/Q,3,B722,,J,1PW016
B727 2S2F RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2U5 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2X8 RE ADV,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 2Y4 ADV,B722,JT8D-15/Q,3,B722,,J,1PW009
B727 30,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 30 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 30C,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 30C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 31 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 31C QF,B722,TAY 651-54,3,B722,,J,3RR032
B727 31C RE,B722,TAY 651-54,3,B722,,J,3RR032
B727 44,B722,JT8D-7,3,B722,,J,8PW085
B727 44C,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 46,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 46 F,B722,JT8D-7B,3,B722,,J,8PW085
B727 51,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 76 RE,B722,JT8D-217C2/17A1,3,B722,,J,4PW070
B727 82,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 89,B722,JT8D-7B/Q,3,B722,,J,8PW085
B727 91,B722,JT8D-7/Q,3,B722,,J,8PW085
B727 95,B722,JT8D-9A/Q,3,B722,,J,1PW006
B737 10,B3XM,LEAP-1B,2,B39M,,J,01P20CM140
B737 201,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 204 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 205 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 209 F,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 209 F ADV,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 210C,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 217,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 217 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 219 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 222,B732,JT8D-7B,2,B732,B73215,J,8PW085
B737 228 ADV,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 229 ADV,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 230 ADV,B732,JT8D-15/Q,2,B732,B73215,J,1PW009
B737 230 F,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 232,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 236 ADV,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 242,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 242C,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 244 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 247,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 247 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 248C ADV,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 25A ADV,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 266 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 268 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 270C ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 275,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 277,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 281 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 282 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 286,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 287,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 291,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 297,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 2A8 F,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2B6C ADV,B732,JT8D-15A/Q,2,B732,B73215,J,1PW011
B737 2B7,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 2D6 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2D6C ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2E7 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2H3 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2H3C ADV,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 2H4,B732,JT8D-9A,2,B732,B73215,J,1PW006
B737 2J8,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2K2C,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 2K3 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2K5,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2K9 ADV,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 2L9 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2M2,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2M2C,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2N0 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2N1,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2N3,B732,UNKNOWN,2,B732,B73215,J,1PW012
B737 2N9C ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2Q2C,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2Q3,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2Q8,B732,JT8D-15A,2,B732,B73215,J,1PW011
B737 2Q8 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
