ICAO,NB_ENG,TYPE_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
LJ31,2,J,BE40,,J,1AS001
LJ35,2,J,LJ35,,J,1AS001
LJ40,2,J,LJ45,,J,1AS002
LJ45,2,J,LJ45,,J,1AS002
LJ55,2,J,LJ60,,J,1AS002
LJ60,2,J,LJ60,,J,03P16PW192
LJ70,2,J,LJ75,,J,1AS002
LJ75,2,J,LJ75,,J,1AS002
M600,1,T,TBM7,,T,PT6A-42
MA60,2,T,F27,,T,PW127
MD11,3,J,MD11,,J,2GE049
MD81,2,J,MD82,MD808120,J,4PW070
MD82,2,J,MD82,MD808221,J,4PW070
MD83,2,J,MD83,MD808321,J,4PW071
MD87,2,J,MD82,MD808720,J,4PW070
MD88,2,J,MD82,MD808821,J,4PW071
MD90,2,J,MD83,,J,1IA002
MRJ9,2,J,A148,,J,01P22PW169
MS76,2,J,EA50,,J,BIZLIGHTJET_F
MU2,2,T,MU2,,T,TPE331-6
MU30,2,J,BE40,,J,1PW036
N262,2,T,JS41,,T,BIZHEAVYPROP_F
N262,2,T,JS41,,T,BIZHEAVYPROP_F
N262,2,T,JS41,,T,BIZHEAVYPROP_F
NOMA,2,T,BE99,,T,BIZLIGHTPROP_F
P06T,2,P,P06T,,P,Rotax 912S
P180,2,T,P180,,T,PT6A-66
P2,2,P,F27,,T,Prop>500hp
P212,2,P,C310,,P,TIO-540-J2B2
P3,4,T,AN12,,T,T56-A-14
P337,2,P,BE76,,P,TSIO-360C
P46T,1,T,P46T,,T,PT6A-42
P68,2,P,BE76,,P,IO-360-A1B6
P68T,2,T,K100,,T,BIZLIGHTPROP_F
P750,1,T,P750,,T,PT6A-34
PA23,2,P,DA42,,P,O-320-E2A
PA27,2,P,PA27,,P,IO-540-T4A5D
PA30,2,P,PA34,,P,IO-320-DIAD
PA31,2,P,PA31,,P,TIO-540-J2B2
PA34,2,P,PA34,,P,TSIO-360C
PA44,2,P,PA44,,P,O-360-A3A
PA46,1,P,PA46,,P,TIO-540-J2B2
PAY1,2,T,PAY1,,T,PT6A-11
PAY2,2,T,PAY2,,T,PT6A-28
PAY3,2,T,PAY3,,T,PT6A-41
PAY4,2,T,P180,,T,TPE331-14B
PC12,1,T,PC12,,T,PT6A-67B
PC24,2,J,C560,,J,1AS001
PC6T,1,T,C208,,T,PT6A-27
PC7,1,T,C208,,T,PT6A-25C
PC9,1,T,TEX2,,T,PT6A-62
PRM1,2,J,PRM1,,J,1AS001
R135,4,J,DC87,,J,1CM001
RJ1H,4,J,RJ1H,,J,1TL004
RJ70,4,J,RJ85,,J,1TL004
RJ85,4,J,RJ85,,J,1TL004
S2P,2,P,S2P,,P,Prop>500hp
S2T,2,T,SH36,,T,PT6A-67AF
S601,2,J,C550,,J,1PW036
SB20,2,T,SB20,,T,AE2100A on Saab 2000
SBR1,2,J,SBR1,,J,1AS002
SBR2,2,J,SBR1,,J,CF700-2D
SC7,2,T,L410,,T,TPE331-2
SF34,2,T,SF34,,T,CT7-9B
SF50,1,J,SF50,,J,1AS001
SH33,2,T,SH36,,T,PT6A-45R
SH36,2,T,SH36,,T,PT6A-67R
SJ30,2,J,LJ25,,J,1AS001
STAR,2,T,P1HH,,T,PT6A-67A
SU95,2,J,SU95,,J,01P11PJ003
SW2,2,T,BE9L,,T,TPE331-15AW
SW3,2,T,MU2,,T,TPE331-10U
SW4,2,T,SW4,,T,TPE331-11U-601G
T134,2,J,T134,,J,1AA001
T154,3,J,T154,,J,1AA004
T204,2,J,T204,,J,13AA006
TBM7,1,T,TBM7,,T,PT6A-64
TBM8,1,T,TBM8,,T,PT6A-64
TBM9,1,T,TBM9,,T,PT6A-64
TRIS,3,P,C206,,P,O-540-J3C5D
U16,2,P,S2P,,P,Prop>500hp
U21,2,T,F406,,T,PT6A-20
VC10,4,J,B703,,J,1PW002
VF14,2,J,E135,,J,1RR001
W135,4,J,B703,,J,1CM001
WW23,2,J,SBR1,,J,1AS002
WW24,2,J,SBR1,,J,1AS002
Y11,2,P,C414,,P,IO-550-B
YK40,3,J,YK40,,J,AI-24VT
YK42,3,J,YK42,,J,1ZM001
