ACFT_SERIES,ICAO,ENGINE_ID,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
B737 81M,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81P,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 81Q,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 81Q,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81Q BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81Z,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 81Z,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 823,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 824,B738,8CM051,CFM56-7B26,2,B738,B737W24,J
B737 82K,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 82K,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 82R,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 82R,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 82R BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 82Z,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 82Z,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 832,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 832 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 83N,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 83N BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 83N SF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 846,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 84P,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 84P BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 84P SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 84R,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 84R,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 84Y,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 852,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 858,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85F,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 85F,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85F SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85H,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 85H,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85H BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 85H BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85P,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 85P,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 85P,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85P BCF,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 85P SF,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 85R,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 85R,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 85R,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85R BCF,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 85R BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 85R SF,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 85R SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 860,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 860,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 866,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 866,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 866 SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86D,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 86J,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 86J,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 86J,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86J,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86J BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86J SF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86J WL BDSF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86N,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 86N,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 86N,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 86N,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 86N,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86N,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86N BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86N BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86N BDSF,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 86N BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86N SF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86N SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86Q,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 86Q,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 86Q,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 86Q,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86Q SF,B738,01P11CM122,CFM56-7B27/B1,2,B738,B738W26,J
B737 86Q SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 86R,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 883,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 883 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 883 BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 883 SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 890,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 89L,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 89L,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 89L SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 89M,B738,8CM051,CFM56-7B26,2,B738,B737W24,J
B737 89P,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8AJ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8AL,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 8AL,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8AL,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8AL,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8AL BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8AN,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8AS,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8AS,B738,3CM031,CFM56-7B22,2,B738,B738W26,J
B737 8AS,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8AS,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8AS BCF,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8AS SF,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8AW,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8B5 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8B6,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8B6,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8BG,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8BK,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8BK,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8BK,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8BK BCF,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8BK BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8BK SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8C9,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8C9,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8CT,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8CX,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8CX SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8D6,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8D6,B738,3CM030,CFM56-7B20,2,B738,B738W26,J
B737 8D6,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8D6 BCF,B738,3CM030,CFM56-7B20,2,B738,B738W26,J
B737 8DC,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8DP,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8DR,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8DV,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8DY,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8E0,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8E9,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8EC,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EH,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8EH,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8EH,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EH BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EQ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EV,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8EX,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8F2,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8F2,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8F2 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FB,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8FB,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8FE,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FE BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FE BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FE SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FH,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8FH,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8FH,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FH BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FN,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8FV ERX P 8A,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8FV P 8A,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8FV P 8A,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8FV P 8A,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8FV P 8I,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8FZ,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8FZ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8GG,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8GJ,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 8GJ,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8GJ,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8GJ,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8GJ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8GK,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8GP,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 8GQ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8GS,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8GU,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8GU,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8H4,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8H6,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8H6,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8HC,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8HC,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8HG,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8HO,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8HX,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8HX,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8HX SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8JE,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8JM,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8JP,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8JP,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8JP,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8K2,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 8K2,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8K2,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8K2,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8K2,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8K2,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8K2 SF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8K5,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8K5,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8K5,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8K5,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8K5 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8KB,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8KN,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8KN,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8KN,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8KT,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8KV,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 8LD,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8LD,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8LH,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8LH,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8LJ,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8LJ,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8LJ,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8LP,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8LP,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8LX,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8LX,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8LZ,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8MA,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8MA,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8MA,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8MC,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8MG,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8Q8,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8Q8,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8Q8,B738,3CM032,CFM56-7B24,2,B738,B738W26,J
B737 8Q8,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8Q8,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Q8 BCF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8Q8 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Q8 SF,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8Q8 SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8S3,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8S3,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8SA,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8SH,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8SH,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8SH,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8U3,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8U3,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8V3,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8V3 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Z0,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Z0 BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Z6,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 8Z6,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Z9,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8Z9,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8Z9 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8ZE,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8ZM,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 8ZQ,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 8ZQ,B738,3CM034,CFM56-7B27,2,B738,B738W26,J
B737 8ZQ,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 8ZS,B738,3CM030,CFM56-7B,2,B738,B738W26,J
B737 9,B39M,01P20CM140,LEAP-1B,2,B39M,,J
B737 900WL,B739,01P11CM116,CFM56-7B26E,2,B739,B739ERW26,J
B737 91M ER,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 93Y ER,B739,01P11CM121,CFM56-7BE,2,B739,B739ERW26,J
B737 93Y ER,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 94X ER,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 958 ER,B739,01P11CM121,CFM56-7B27E,2,B739,B739ERW26,J
B737 958 ER,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 95R,B739,3CM032,CFM56-7B24,2,B739,B739ERW26,J
B737 96N ER,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 97L,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 97Y ER,B739,01P11CM121,CFM56-7B27E,2,B739,B739ERW26,J
B737 990,B739,3CM032,CFM56-7B24,2,B739,B739ERW26,J
B737 9B5,B739,8CM051,CFM56-7B26,2,B739,B739ERW26,J
B737 9BQ ER,B739,01P11CM121,UNKNOWN,2,B739,B739ERW26,J
