ACFT_SERIES,ICAO,ENGINE_ID,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
A318 111 ELITE,A318,7CM048,CFM56-5B8/P,2,A318,A318-112,J
A318 112,A318,7CM048,CFM56-5B8/P,2,A318,A318-112,J
A318 112 ELITE,A318,7CM048,CFM56-5B8/P,2,A318,A318-112,J
A318 121,A318,7CM048,UNKNOWN,2,A318,A318-112,J
A318 121,A318,7PW083,PW6122,2,A318,A318-112,J
A318 122,A318,7PW084,PW6124A,2,A318,A318-112,J
A319 111,A319,01P08CM106,CFM56-5B5/3,2,A319,A319-114,J
A319 111,A319,3CM027,CFM56-5B5/P,2,A319,A319-114,J
A319 111,A319,3CM028,CFM56-5B6/P,2,A319,A319-114,J
A319 112,A319,3CM022,CFM56-5B6/2P,2,A319,A319-114,J
A319 112,A319,3CM027,CFM56-5B5/P,2,A319,A319-114,J
A319 112,A319,3CM028,CFM56-5B6/P,2,A319,A319-114,J
A319 112 SL,A319,3CM028,CFM56-5B6/P,2,A319,A319-114,J
A319 112X,A319,3CM027,CFM56-5B5/P,2,A319,A319-114,J
A319 113,A319,4CM035,CFM56-5A4,2,A319,A319-114,J
A319 114,A319,4CM036,CFM56-5A5,2,A319,A319-114,J
A319 115,A319,01P08CM108,CFM56-5B7,2,A319,A319-114,J
A319 115,A319,6CM044,CFM56-5B7/P,2,A319,A319-114,J
A319 115 SL,A319,01P08CM108,CFM56-5B7,2,A319,A319-114,J
A319 115 SL,A319,3CM028,CFM56-5B6/P,2,A319,A319-114,J
A319 115 SL,A319,6CM044,CFM56-5B7/P,2,A319,A319-114,J
A319 115LR,A319,6CM044,CFM56-5B7/P,2,A319,A319-114,J
A319 115X,A319,01P08CM108,CFM56-5B7,2,A319,A319-114,J
A319 115X,A319,3CM027,CFM56-5B5/P,2,A319,A319-114,J
A319 115X,A319,4CM036,CFM56-5A5,2,A319,A319-114,J
A319 115X,A319,6CM044,CFM56-5B7/P,2,A319,A319-114,J
A319 115X SL,A319,01P08CM108,CFM56-5B7,2,A319,A319-114,J
A319 115X SL,A319,3CM027,CFM56-5B5/P,2,A319,A319-114,J
A319 115X SL,A319,6CM044,CFM56-5B7/P,2,A319,A319-114,J
A319 131,A319,3IA006,V2522-A5,2,A319,A319-131,J
A319 132,A319,3IA007,V2524-A5,2,A319,A319-131,J
A319 132 SL,A319,3IA007,V2524-A5,2,A319,A319-131,J
A319 132LR,A319,3IA006,V2522-A5,2,A319,A319-131,J
A319 132X,A319,3IA007,V2524-A5,2,A319,A319-131,J
A319 133,A319,8IA009,V2527M-A5,2,A319,A319-131,J
A319 133 SL,A319,8IA009,V2527M-A5,2,A319,A319-131,J
A319 133LR,A319,1IA003,V2527-A5,2,A319,A319-131,J
A319 133LR,A319,8IA009,V2527M-A5,2,A319,A319-131,J
A319 133X,A319,1IA003,V2527-A5,2,A319,A319-131,J
A319 133X,A319,3IA007,UNKNOWN,2,A319,A319-131,J
A319 133X,A319,8IA009,V2527M-A5,2,A319,A319-131,J
A319 153N,A19N,01P20CM128,LEAP-1A26,2,A20N,,J
A319 153N CJ,A19N,01P20CM128,LEAP-1A26,2,A20N,,J
A320 111,A320,1CM008,CFM56-5A1,2,A320,A320-212,J
A320 211,A320,1CM008,CFM56-5A1,2,A320,A320-212,J
A320 211 SL,A320,1CM009,CFM56-5A3,2,A320,A320-212,J
A320 212,A320,1CM009,CFM56-5A3,2,A320,A320-212,J
A320 214,A320,01P08CM105,CFM56-5B4/3,2,A320,A320-214,J
A320 214,A320,2CM014,CFM56,2,A320,A320-214,J
A320 214,A320,2CM018,CFM56-5B4/2,2,A320,A320-214,J
A320 214,A320,3CM021,CFM56-5B4/2P,2,A320,A320-214,J
A320 214,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 214 SL,A320,01P08CM105,CFM56-5B4/3,2,A320,A320-214,J
A320 214 SL,A320,3CM021,CFM56-5B4/2P,2,A320,A320-214,J
A320 214 SL,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 214X,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 214X SL,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 216,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 216,A320,3CM028,CFM56-5B6/P,2,A320,A320-214,J
A320 216 SL,A320,3CM026,CFM56-5B4/P,2,A320,A320-214,J
A320 216 SL,A320,3CM028,CFM56-5B6/P,2,A320,A320-214,J
A320 231,A320,1IA001,V2500-A1,2,A320,A320-231,J
A320 232,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 232 P2F,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 232 SL,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 232X,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 232X SL,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 233,A320,1IA003,V2527-A5,2,A320,A320-232,J
A320 233,A320,8IA010,V2527E-A5,2,A320,A320-232,J
A320 233 SL,A320,8IA010,V2527E-A5,2,A320,A320-232,J
A320 251N,A20N,01P20CM128,LEAP-1A26,2,A20N,A320-271N,J
A320 251N ACJ,A20N,01P20CM128,LEAP-1A26,2,A20N,A320-271N,J
A320 252N,A20N,01P20CM127,LEAP-1A24,2,A20N,A320-271N,J
A320 252N,A20N,01P20CM128,LEAP-1A26,2,A20N,A320-271N,J
A320 271N,A20N,01P22PW163,PW1127G-JM,2,A20N,A320-271N,J
A320 272N,A20N,01P22PW160,PW1124G-JM,2,A20N,A320-271N,J
A320 272N,A20N,01P22PW163,PW1124G,2,A20N,A320-271N,J
A321 111,A321,2CM012,CFM56-5B1,2,A321,A321-111,J
A321 112,A321,2CM013,CFM56-5B2,2,A321,A321-111,J
A321 131,A321,1IA005,V2530-A5,2,A321,A321-131,J
A321 211,A321,01P08CM104,CFM56-5B3,2,A321,A321-111,J
A321 211,A321,3CM025,CFM56-5B3/P,2,A321,A321-111,J
A321 211,A321,3IA008,UNKNOWN,2,A321,A321-111,J
A321 211 P2F,A321,01P08CM104,CFM56-5B3,2,A321,A321-111,J
A321 211 P2F,A321,3CM025,CFM56-5B3/P,2,A321,A321-111,J
A321 211 PCF,A321,3CM025,CFM56-5B3/P,2,A321,A321-111,J
A321 211 SL,A321,01P08CM104,CFM56-5B3,2,A321,A321-111,J
A321 211 SL,A321,2CM012,CFM56-5B1,2,A321,A321-131,J
A321 211 SL,A321,3CM020,CFM56-5B1/2P,2,A321,A321-131,J
A321 211 SL,A321,3CM025,CFM56-5B3/P,2,A321,A321-111,J
A321 211 SL,A321,3CM026,CFM56-5B4/P,2,A321,A321-111,J
A321 212,A321,3CM020,CFM56-5B1/2P,2,A321,A321-111,J
A321 213,A321,2CM013,CFM56-5B2,2,A321,A321-111,J
A321 213 SL,A321,2CM013,CFM56-5B2,2,A321,A321-111,J
A321 213 SL,A321,3CM025,CFM56-5B3/P,2,A321,A321-111,J
A321 231,A321,3IA008,V2533-A5,2,A321,A321-131,J
A321 231 P2F,A321,3IA008,V2533-A5,2,A321,A321-131,J
A321 231 PCF,A321,3IA008,V2533-A5,2,A321,A321-131,J
A321 231 SL,A321,3IA008,V2533-A5,2,A321,A321-131,J
A321 232,A321,1IA005,V2530-A5,2,A321,A321-131,J
A321 232 PCF,A321,1IA005,V2530-A5,2,A321,A321-131,J
A321 232 SL,A321,1IA005,V2530-A5,2,A321,A321-131,J
A321 251N,A21N,01P20CM132,LEAP-1A32,2,A21N,,J
A321 251NX,A21N,01P20CM132,LEAP-1A32,2,A21N,,J
A321 251NX LR,A21N,01P20CM132,LEAP-1A32,2,A21N,,J
A321 251NY XLR,A21N,01P20CM132,LEAP-1A32,2,A21N,,J
A321 252NX,A21N,01P20CM132,LEAP-1A30,2,A21N,,J
A321 253N,A21N,01P20CM132,LEAP-1A33,2,A21N,,J
A321 253NX,A21N,01P20CM132,LEAP-1A33,2,A21N,,J
A321 253NX LR,A21N,01P20CM132,LEAP-1A33,2,A21N,,J
A321 253NY XLR,A21N,01P20CM132,LEAP-1A32,2,A21N,,J
A321 271N,A21N,01P22PW167,PW1133G-JM,2,A21N,,J
A321 271NX,A21N,01P22PW167,PW1133G-JM,2,A21N,,J
A321 271NXLR,A21N,01P22PW167,PW1133G-JM,2,A21N,,J
A321 272N,A21N,01P22PW165,PW1130G-JM,2,A21N,,J
A321 272NX,A21N,01P22PW165,PW1130G-JM,2,A21N,,J
A330 201,A332,2GE051,CF6-80E1A2,2,A332,A330-203,J
A330 201 MRTT,A332,2GE051,CF6-80E1A2,2,A332,A330-203,J
A330 202,A332,2GE051,CF6-80E1A2,2,A332,A330-203,J
A330 202,A332,4GE081,CF6-80E1A4,2,A332,A330-203,J
A330 202,A332,5GE085,CF6-80E1A3,2,A332,A330-203,J
A330 202 P2F,A332,5GE085,CF6-80E1A3,2,A332,A330-203,J
A330 202MRTT,A332,4GE081,CF6-80E1A4,2,A332,A330-203,J
A330 202MRTT,A332,5GE085,CF6-80E1A3,2,A332,A330-203,J
A330 203,A332,2GE051,CF6-80E1A2,2,A332,A330-203,J
A330 203,A332,5GE085,CF6-80E1A3,2,A332,A330-203,J
A330 203MRTT,A332,5GE085,CF6-80E1A3,2,A332,A330-203,J
A330 223,A332,01P14RR102,TRENT 772B-60,2,A332,A330-223,J
A330 223,A332,2GE051,CF6-80E1A2,2,A332,A330-223,J
A330 223,A332,4GE081,CF6-80E1A4,2,A332,A330-223,J
A330 223,A332,5GE085,CF6-80E1A3,2,A332,A330-223,J
A330 223,A332,7PW082,PW4168A,2,A332,A330-223,J
A330 223F,A332,7PW082,PW4168A,2,A332,A330-223,J
A330 243,A332,01P14RR102,TRENT 772B-60,2,A332,A330-243,J
A330 243,A332,7PW082,PW4168A,2,A332,A330-223,J
A330 243 F,A332,01P14RR102,TRENT 772B-60,2,A332,A330-243,J
A330 243 MRTT,A332,01P14RR102,TRENT 772B-60,2,A332,A330-243,J
A330 243 P2F,A332,01P14RR102,TRENT 772B-60,2,A332,A330-243,J
A330 243F,A332,01P14RR102,TRENT 772B-60,2,A332,A330-243,J
A330 243F,A332,7PW082,PW4168A,2,A332,A330-223,J
A330 243MRTT,A332,5GE085,CF6-80E1A3,2,A332,A330-223,J
A330 301,A333,2GE051,CF6-80E1A2,2,A333,A330-301,J
A330 302,A333,2GE051,CF6-80E1A2,2,A333,A330-301,J
A330 302,A333,4GE081,CF6-80E1A4,2,A333,A330-301,J
A330 302,A333,7PW082,PW4168A,2,A333,A330-321,J
A330 303,A333,2GE051,CF6-80E1A2,2,A333,A330-301,J
A330 321,A333,7PW081,PW4164,2,A333,A330-321,J
A330 322,A333,5PW075,PW4168,2,A333,A330-321,J
A330 322 F,A333,5PW075,PW4168,2,A333,A330-321,J
A330 323,A333,01P14RR102,TRENT 772B-60,2,A333,A330-341,J
A330 323,A333,7PW082,PW4168A,2,A333,A330-321,J
A330 323X,A333,7PW082,PW4168A,2,A333,A330-321,J
A330 323X,A333,9PW093,PW4168-1D,2,A333,A330-321,J
A330 341,A333,01P14RR101,TRENT 668,2,A333,A330-341,J
A330 342,A333,01P14RR102,TRENT 772-60,2,A333,A330-341,J
A330 343,A333,01P14RR102,TRENT 772B-60,2,A333,A330-341,J
A330 343 P2F,A333,01P14RR102,TRENT 772B-60,2,A333,A330-341,J
A330 343E,A333,01P14RR102,TRENT 772B-60,2,A333,A330-341,J
A330 743L,A337,01P14RR102,TRENT 772B-60,2,A3ST,A300B4-608ST,J
A330 841,A338,04P24RR146,TRENT 7000-72,2,A339,,J
A330 941,A339,04P24RR146,TRENT 7000-72,2,A339,,J
A340 211,A342,1CM010,CFM56-5C2,4,A342,A340-213,J
A340 212,A342,1CM010,CFM56-5C2,4,A342,A340-213,J
A340 212,A342,1CM011,CFM56-5C3,4,A342,A340-213,J
A340 213,A342,1CM010,CFM56-5C2,4,A342,A340-213,J
A340 213,A342,1CM011,CFM56-5C3,4,A342,A340-213,J
A340 311,A343,1CM010,CFM56-5C2,4,A343,A340-313,J
A340 312,A343,1CM011,CFM56-5C3,4,A343,A340-313,J
A340 312,A343,7CM046,CFM56-5C3/F,4,A343,A340-313,J
A340 313,A343,1CM010,CFM56-5C2,4,A343,A340-313,J
A340 313,A343,2CM015,CFM56-5C4,4,A343,A340-313,J
A340 313,A343,7CM047,CFM56-5C4/P,4,A343,A340-313,J
A340 313E,A343,7CM047,CFM56-5C4/P,4,A343,A340-313,J
A340 541,A345,8RR044,TRENT 553,4,A345,A340-541,J
A340 542,A345,8RR045,TRENT 556,4,A345,A340-541,J
A340 642,A346,8RR044,TRENT 553,4,A346,A340-642,J
A340 642,A346,8RR045,TRENT 556-61,4,A346,A340-642,J
A340 642 HGW,A346,8RR045,TRENT 556-61,4,A346,A340-642,J
A340 642HGW,A346,8RR045,TRENT 556-61,4,A346,A340-642,J
A350 1041,A35K,01P21RR125,TRENT XWB-97,2,A35K,,J
A350 941,A359,01P18RR124,TRENT XWB-84,2,A359,A350-941,J
A350 941 CJ,A359,01P18RR124,TRENT XWB-84,2,A359,A350-941,J
A350 941 ULR,A359,01P18RR124,TRENT XWB-84,2,A359,A350-941,J
A350 942,A359,01P18RR124,TRENT XWB-84,2,A359,A350-941,J
A380 841,A388,01P18RR103,TRENT 970-84,4,A388,A380-841,J
A380 842,A388,01P18RR103,TRENT 970-84,4,A388,A380-841,J
A380 861,A388,01P18RR103,TRENT 970-84,4,A388,A380-841,J
A380 861,A388,9EA001,GP7270,4,A388,A380-861,J
ACJ320 251N,A20N,01P20CM128,LEAP-1A26,2,A20N,A320-271N,J
AIRBUS ACJ TWOTWENTY,BCS1,04P20PW196,PW1524G,2,B736,,J
AN124,A124,1ZM001,D-18T,4,A124,,J
AN124 100,A124,1ZM001,D-18T,4,A124,,J
AN124 100M,A124,1ZM001,D-18T,4,A124,,J
AN124 100M 150,A124,1ZM001,D-18T,4,A124,,J
AN148,A148,13ZM004,D-436-148,2,A148,,J
AN148 100B,A148,13ZM004,D-436-148,2,A148,,J
AN148 100E,A148,13ZM004,D-436-148,2,A148,,J
AN158,A148,13ZM004,D-436-148,2,A148,,J
AN178,A178,13ZM003,D-436-148FM,2,E190,,J
AN225,A225,1ZM001,D-18T,6,A124,,J
AN72,AN72,1ZM001,D-36,2,F28,,J
AN72 100,AN72,1ZM001,D-36-2A,2,F28,,J
AN74,AN72,1ZM001,D-36,2,F28,,J
AN74 200,AN72,1ZM001,D-36-3A,2,F28,,J
AN74T,AN72,1ZM001,D-36,2,F28,,J
AN74T 100,AN72,1ZM001,D-36,2,F28,,J
AN74TK 200,AN72,13ZM002,D-36-3A,2,F28,,J
AN74TK 200,AN72,1ZM001,D-36,2,F28,,J
AN74TK 200A,AN72,13ZM002,D-36-3A,2,F28,,J
AN74TK 300,A743,13ZM002,D-36-3A,2,F28,,J
AN74TK 300D,A743,13ZM002,D-36-3A,2,F28,,J
ARJ21 700,AJ27,01P11GE202,CF34-10A,2,A148,,J
B707 138B,B701,1PW001,JT3D-1/Q,4,B703,,J
B707 307C,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 321B Q,B703,1PW001,JT3D-1/Q,4,B703,,J
B707 321B Q,B703,1PW002,JT4A,4,B703,,J
B707 321C,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 323C,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 324C,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 330B,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 331B,B703,1PW001,JT3D-3B,4,B703,,J
B707 331C,B703,1PW001,JT3D-3B,4,B703,,J
B707 338C,B703,1PW001,JT3D-3B,4,B703,,J
B707 340C,B703,1PW001,JT3D-3B,4,B703,,J
B707 344C,B703,1PW002,JT3D-7,4,B703,,J
B707 345C,B703,1PW001,UNKNOWN,4,B703,,J
B707 351C KC135A,K35E,1CM002,UNKNOWN,4,B703,,J
B707 366C,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 368C,B703,1PW001,JT3D-3B,4,B703,,J
B707 373C,B703,1PW001,JT3D-3B,4,B703,,J
B707 384C,B703,1PW001,UNKNOWN,4,B703,,J
B707 386C,B703,1PW001,JT3D-3B,4,B703,,J
B707 387B F,B703,1PW001,JT3D-3B,4,B703,,J
B707 3J6B,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 3J6C,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 3J9C,B703,1PW001,UNKNOWN,4,B703,,J
B707 3K1C,B703,1PW001,JT3D-3B/Q,4,B703,,J
B707 3L6B,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 3L6C,B703,1PW002,JT3D-7/Q,4,B703,,J
B707 3M1C,B703,1PW001,JT3D-3B,4,B703,,J
B707 3P1C,B703,1PW001,JT3D-3B/7Q,4,B703,,J
B707 3W6C,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 E 3D AEW 1,E3CF,1CM001,UNKNOWN,4,DC87,,J
B707 E3A,E3CF,1CM001,UNKNOWN,4,DC87,,J
B707 E3D,E3CF,1CM001,UNKNOWN,4,DC87,,J
B707 E6A,E6,1PW001,UNKNOWN,4,DC87,,J
B707 E8B,B703,1PW001,JT3D-3BQ,4,B703,,J
B707 E8C,B703,1PW001,JT3D-3B,4,B703,,J
B707 KC 135E,K35E,1CM001,UNKNOWN,4,B703,,J
B707 KC 135R,K35R,1CM001,UNKNOWN,4,B703,,J
B707 RC 135W,K35E,1CM001,CFM56,4,B703,,J
B707 TC 135B,B701,1CM001,UNKNOWN,4,B703,,J
B717 22K,B712,4BR005,BR715,2,B712,B712HGW21,J
B717 22K,B712,4BR007,BR715C,2,B712,B712HGW21,J
B717 231,B712,4BR005,BR715,2,B712,B712HGW21,J
B717 23S,B712,4BR005,BR715,2,B712,B712HGW21,J
B717 2BL,B712,4BR005,BR715A,2,B712,B712HGW21,J
B717 2CM,B712,4BR005,BR715,2,B712,B712HGW21,J
B717 2K9,B712,4BR005,BR715,2,B712,B712HGW21,J
B727 108C RE,B721,3RR032,TAY 651-54,3,B722,,J
B727 109,B721,8PW085,JT8D-7,3,B722,,J
B727 14,B721,8PW085,JT8D-7,3,B722,,J
B727 17 RE,B721,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 173C RE,B721,3RR032,TAY 651-54,3,B722,,J
B727 180C RE,B721,3RR032,TAY 651-54,3,B722,,J
B727 185C RE,B721,3RR032,TAY 651-54,3,B722,,J
B727 1A7C RE,B721,3RR032,TAY 651-54,3,B722,,J
B727 1H2 RE,B721,4PW070,JT8D-217C2/9A1,3,B722,,J
B727 21,B721,1PW006,JT8D-9/Q,3,B722,,J
B727 21,B721,8PW085,JT8D-7B/Q,3,B722,,J
B727 212,B722,1PW012,JT8D-17/Q,3,B722,,J
B727 212 ADV,B722,1PW014,JT8D-17A/Q,3,B722,,J
B727 212 RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 212 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 22,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 22 F,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 22 RE,B722,4PW070,JT8D-217C217A1,3,B722,,J
B727 221 F,B722,1PW016,JT8D-17R/Q,3,B722,,J
B727 221 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 222 F,B722,1PW009,JT8D-15,3,B722,,J
B727 223 ADV,B722,1PW006,JT8D-9A/Q,3,B722,,J
B727 223 F ADV,B722,1PW006,JT8D-9A/Q,3,B722,,J
B727 225,B722,1PW009,JT8D-15,3,B722,,J
B727 225,B722,1PW016,JT8D-17R,3,B722,,J
B727 225 F,B722,1PW009,JT8D-15,3,B722,,J
B727 225 F ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 227 F ADV,B722,1PW006,JT8D-9A/Q,3,B722,,J
B727 227 F ADV,B722,1PW012,JT8D-17,3,B722,,J
B727 227 F ADV,B722,1PW016,JT8D-17R,3,B722,,J
B727 228 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 228 ADV,B722,1PW011,JT8D-15A,3,B722,,J
B727 22C,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 22C QF,B722,3RR032,TAY 651-54,3,B722,,J
B727 22C RE,B722,3RR032,TAY 651-54,3,B722,,J
B727 23,B722,8PW085,JT8D-7B,3,B722,,J
B727 23 Q,B722,3RR032,TAY 651-54,3,B722,,J
B727 230,B722,1PW009,JT8D-15,3,B722,,J
B727 230 ADV,B722,1PW009,JT8D-15/Q,3,B722,,J
B727 230 F ADV,B722,1PW009,JT8D-15/Q,3,B722,,J
B727 232,B722,1PW009,JT8D-15/Q,3,B722,,J
B727 232 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 233 F ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 235,B722,8PW085,JT8D-7B,3,B722,,J
B727 243 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 247,B722,1PW009,JT8D-15,3,B722,,J
B727 251,B722,1PW009,JT8D-15,3,B722,,J
B727 256 ADV,B722,1PW006,JT8D-9,3,B722,,J
B727 25C,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 25C RE,B722,3RR032,TAY 651-54,3,B722,,J
B727 260 F ADV,B722,1PW016,JT8D-17R/Q,3,B722,,J
B727 264 ADV,B722,1PW016,JT8D-17R,3,B722,,J
B727 264 F ADV,B722,1PW016,JT8D-17R/Q,3,B722,,J
B727 269 ADV,B722,1PW016,JT8D-17R,3,B722,,J
B727 276 ADV,B722,1PW006,JT8D-9/Q,3,B722,,J
B727 281 F ADV,B722,1PW012,JT8D-17/Q,3,B722,,J
B727 281 RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 282,B722,1PW012,JT8D-17/Q,3,B722,,J
B727 286,B722,1PW009,JT8D-15,3,B722,,J
B727 294 ADV,B722,1PW012,JT8D-17,3,B722,,J
B727 2B7,B722,1PW014,JT8D-17A,3,B722,,J
B727 2D6 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 2F2 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 2F2 F ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 2H9 ADV,B722,1PW006,JT8D-9A,3,B722,,J
B727 2J4 ADV,B722,8PW085,JT8D-7B,3,B722,,J
B727 2K5 ADV,B722,1PW012,JT8D-17,3,B722,,J
B727 2L5 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 2L8 ADV,B722,1PW009,JT8D-15,3,B722,,J
B727 2M1 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2M7 ADV,B722,1PW016,JT8D-17R,3,B722,,J
B727 2M7 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2N6 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2N8 ADV,B722,1PW016,JT8D-17R,3,B722,,J
B727 2P1 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2Q9 F ADV,B722,1PW016,JT8D-17R/Q,3,B722,,J
B727 2S2F RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2U5 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2X8 RE ADV,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 2Y4 ADV,B722,1PW009,JT8D-15/Q,3,B722,,J
B727 30,B722,1PW006,JT8D-9A/Q,3,B722,,J
B727 30,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 30 RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 30C,B722,8PW085,JT8D-7/Q,3,B722,,J
B727 30C RE,B722,3RR032,TAY 651-54,3,B722,,J
B727 31 RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 31C QF,B722,3RR032,TAY 651-54,3,B722,,J
B727 31C RE,B722,3RR032,TAY 651-54,3,B722,,J
B727 44,B722,8PW085,JT8D-7,3,B722,,J
B727 44C,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 46,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 46 F,B722,8PW085,JT8D-7B,3,B722,,J
B727 51,B722,8PW085,JT8D-7/Q,3,B722,,J
B727 76 RE,B722,4PW070,JT8D-217C2/17A1,3,B722,,J
B727 82,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 89,B722,8PW085,JT8D-7B/Q,3,B722,,J
B727 91,B722,8PW085,JT8D-7/Q,3,B722,,J
B727 95,B722,1PW006,JT8D-9A/Q,3,B722,,J
B737 10,B3XM,01P20CM140,LEAP-1B,2,B39M,,J
B737 201,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 201,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 204 ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 204 ADV,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 205 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 209 F,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 209 F ADV,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 210C,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 217,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 217 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 219 ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 219 ADV,B732,1PW011,JT8D-15A/Q,2,B732,B73215,J
B737 222,B732,8PW085,JT8D-7B,2,B732,B73215,J
B737 228 ADV,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 229 ADV,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 230 ADV,B732,1PW009,JT8D-15/Q,2,B732,B73215,J
B737 230 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 230 F,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 232,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 236 ADV,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 242,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 242C,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 244 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 247,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 247 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 248C ADV,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 25A ADV,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 25A ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 266 ADV,B732,1PW012,JT8D-17,2,B732,B73215,J
B737 268 ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 270C ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 275,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 277,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 281 ADV,B732,1PW012,JT8D-17,2,B732,B73215,J
B737 282 ADV,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 286,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 287,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 291,B732,1PW012,JT8D-17,2,B732,B73215,J
B737 297,B732,1PW006,JT8D-9A,2,B732,B73215,J
B737 2A8 F,B732,1PW014,JT8D-17A,2,B732,B73215,J
B737 2B6C ADV,B732,1PW011,JT8D-15A/Q,2,B732,B73215,J
B737 2B7,B732,1PW011,JT8D-15A,2,B732,B73215,J
B737 2D6 ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
B737 2D6C ADV,B732,1PW006,JT8D-9,2,B732,B73215,J
B737 2D6C ADV,B732,1PW009,JT8D-15,2,B732,B73215,J
