ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
SH33,SD330 100,PT6A-45R,2,SH36,,T,PT6A-45R
SH36,SD360 300,PT6A-67R,2,SH36,,T,PT6A-67R
SJ30,SJ30 2,FJ44-2A,2,LJ25,,J,1AS001
STAR,BEECH 2000 STARSHIP 1A,PT6A-67A,2,P1HH,,T,PT6A-67A
SU95,SSJ100 95B,SaM146-1S17,2,SU95,,J,01P11PJ003
SW2,SA26AT MERLIN IIB,TPE331-1-151G,2,BE9L,,T,TPE331-15AW
SW3,SA 226T MERLIN IIIB,TPE331-10U-501H,2,MU2,,T,TPE331-10U
SW4,SA 227AC METRO III,TPE331-11U-612G,2,SW4,,T,TPE331-11U-601G
T134,TU134A 3,D-30-III,2,T134,,J,1AA001
T154,TU154M,D30KU-154-II,3,T154,,J,1AA004
T204,TU204 100C,PS-90AT,2,T204,,J,13AA006
TBM7,TBM 700,PT6A-64,1,TBM7,,T,PT6A-64
TBM8,TBM 850,PT6A-64,1,TBM8,,T,PT6A-64
