ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
B743,B747 329 SCD,CF6-50E2,4,B743,B743PW,J,3GE077
B744,B747 4R7F SCD,RB211-524G/H-T,4,B744,B744GE,J,4RR036
B748,B747 830,GENX-2B67,4,B748,B748F,J,11GE139
B74R,VC25A B747,CF6-80C2B1,4,B742,,J,2GE041
B74S,B747SP 68,RB211-524C2,4,B742,,J,1RR006
B752,B757 223 F WL,RB211-535E4-B,2,B752,B752WRR40,J,5RR039
B753,B757 330 WL,RB211-535E4-B,2,B753,B753RR,J,5RR039
B762,B767 25E BDSF,CF6-80C2B2F,2,B762,B762GE50,J,2GE046
B763,B767 332 ER,PW4060,2,B763,B763ERGE61,J,12PW101
B764,B767 432 ER,CF6-80C2B7F,2,B764,B764ER,J,2GE054
B772,B777 223 ER,TRENT 892-17,2,B772,B772RR92,J,2RR027
B773,B777 312,TRENT 892,2,B773,B773RR92,J,2RR027
B779,B777 9,GE9X-105B1A,2,B77W,,J,01P21GE217
B77L,B777 F,GE90-115B1L,2,B77L,B772LR,J,01P21GE217
B77W,B777 300 ER,GE90-115B,2,B77W,B773ERGE115B,J,01P21GE217
B788,B787 8,GENX-64B,2,B788,B788GE67,J,12GE150
B789,B787 9,GENX-64B,2,B789,B789GE75,J,12GE150
B78X,B787 10,GENX-1B,2,B78X,,J,01P17GE210
BA11,BAC 1 11 492GM,SPEY 511-14DW,2,BA11,,J,8RR043
BCS1,CS100,PW1524G,2,B736,,J,04P20PW196
BCS3,CS300,PW1521G,2,A318,,J,04P20PW197
BE10,BEECH B100,TPE331-6-252B,2,F406,,T,TPE331-6
BE18,BEECH 3NM,R-985,2,DA62,,P,Prop-500hp
BE20,BEECH B200GT,PT6A-42,2,BE20,,T,PT6A-42
BE30,BEECH 300LW,PT6A-60A,2,BE30,,T,PT6A-60A
BE40,HAWKER 400XP,JT15D-5,2,BE40,,J,1PW037
BE50,BEECH D50A,GO-480,2,C414,,P,Prop-500hp
BE55,BEECH 95 B55,IO-470-L,2,BE55,,P,Prop-300hp
BE56,BEECH 56TC,TIO-541,2,C340,,P,TIO-540-J2B2
BE58,BEECH 58,IO-520-C,2,BE58,,P,TSIO-520-WB
BE60,BEECH B60,TIO-541-E1A4,2,C414,,P,TIO-540-J2B2
BE65,BEECH A65 8200,IO-720-A1B,2,C414,,P,Prop-500hp
BE76,BEECH 76,O-360-A1G6D,2,BE76,,P,O-360-A3A
BE80,BEECH 65 88,IGSO-540-A1D,2,C414,,P,IO-540-T4A5D
BE95,BEECH 95,O-360-A1A,2,BE76,,P,O-360-A3A
BE99,BEECH 99,PT6A-20,2,BE99,,T,PT6A-20
BE9L,BEECH C90GTI,PT6A-135A,2,BE9L,,T,PT6A-135A
BE9T,BEECH F90 1,PT6A-135A,2,BE9L,,T,PT6A-135A
BELF,SC5 BELFAST,TYNE 515-101W,4,C130,,T,BIZHEAVYPROP_F
BLCF,B747 409 LCF,PW4056,4,A346,,J,1PW042
