ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
1GE003,DC10,MD10 10 F,CF6-6K,3,DC10,,J
1GE010,B762,B767 232 BDSF,CF6-80A,2,B762,B762GE50,J
1GE012,B762,B767 204 ER BDSF,CF6-80A2,2,B762,B762ERPW56,J
1GE012,B763,B767 332,CF6-80A2,2,B763,B763PW60,J
1GE013,A310,A310 203,CF6-80A3,2,A310,A310-204,J
1GE034,CL60,CL600 2B16 CL601 3A,CF34-3A,2,CL60,,J
1GE035,CL60,CL600 2B16 CL601 3R,CF34-3A1,2,CL60,,J
1GE035,CRJ1,CL600 2B19 RJ100LR,CF34-3A1,2,CRJ1,,J
1GE035,CRJ2,CL600 2B19 RJ200LR PF,CF34-3A1,2,CRJ2,,J
1IA001,A320,A320 231,V2500-A1,2,A320,A320-231,J
1IA002,MD90,MD90 30,V2525-D5,2,MD83,,J
1IA003,A319,A319 133X,V2527-A5,2,A319,A319-131,J
1IA003,A320,A320 232,V2527-A5,2,A320,A320-232,J
1IA004,MD90,MD90 30,V2528-D5,2,MD83,,J
1IA005,A321,A321 131,V2530-A5,2,A321,A321-131,J
1KK001,T154,TU154B2,NK8-2U,3,T154,,J
1KK003,IL86,IL86,NK-86,4,IL86,,J
1PW001,B701,B707 138B,JT3D-1/Q,4,B703,,J
1PW001,B703,B707 E8C,JT3D-3B,4,B703,,J
1PW001,DC85,DC8F 54,JT3D-3B/Q,4,B703,,J
1PW001,DC86,DC8 62AF,JT3D-3B/Q,4,DC87,,J
1PW001,E6,B707 E6A,UNKNOWN,4,DC87,,J
1PW002,B703,B707 330B,JT3D-7/Q,4,B703,,J
1PW002,DC86,DC8 62F,JT3D-7/Q,4,DC87,,J
1PW002,VC10,VC10 C1 1106,UNKNOWN,4,B703,,J
1PW006,B721,B727 21,JT8D-9/Q,3,B722,,J
1PW006,B722,B727 256 ADV,JT8D-9,3,B722,,J
1PW006,B732,B737 201,JT8D-9A,2,B732,B73215,J
1PW006,DC93,C 9B DC 9,JT8D-9,2,DC93,,J
1PW008,DC92,DC9 21,JT8D-11,2,A158,,J
1PW009,B722,B727 2Y4 ADV,JT8D-15/Q,3,B722,,J
1PW009,B732,B737 230 ADV,JT8D-15/Q,2,B732,B73215,J
1PW009,DC93,DC9 32,JT8D-15,2,DC93,,J
1PW011,B722,B727 228 ADV,JT8D-15A,3,B722,,J
1PW011,B732,B737 229 ADV,JT8D-15A,2,B732,B73215,J
1PW012,B722,B727 294 ADV,JT8D-17,3,B722,,J
1PW012,B732,B737 2V6 ADC,JT8D-17,2,B732,B73215,J
1PW012,DC93,DC9 32,JT8D-17,2,DC93,,J
1PW012,DC95,DC9 51,JT8D-17,2,B712,,J
1PW014,B722,B727 212 ADV,JT8D-17A/Q,3,B722,,J
1PW014,B732,B737 2T4 ADV,JT8D-17A,2,B732,B73215,J
1PW014,DC95,DC9 51,JT8D-17A,2,B712,,J
1PW016,B722,B727 264 ADV,JT8D-17R,3,B722,,J
1PW022,B741,B747 186B,JT9D-7F,4,B742,,J
1PW022,B742,B747 2J9F,JT9D-7F,4,B742,B742RR,J
1PW022,B74S,B747SP 86,JT9D-7F,4,B742,,J
1PW024,B742,B747 212B F SCD,JT9D-7J,4,B742,B742RR,J
1PW024,B74S,B747SP 27,JT9D-7J,4,B742,,J
1PW025,B742,B747 251B SF,JT9D-7Q,4,B742,B742RR,J
1PW026,A310,A310 221 F,JT9D-7R4D1,2,A310,A310-222,J
1PW026,B762,B767 258,JT9D-7R4D,2,B762,B762GE50,J
1PW027,A310,A310 222 F,JT9D-7R4E1,2,A310,A310-222,J
1PW027,B762,B767 238 ER,JT9D-7R4E,2,B762,B762ERPW56,J
1PW028,B762,B767 2J6 ER,JT9D-7R4E4,2,B762,B762ERPW56,J
1PW029,B742,B747 222B F,JT9D-7R4G2,4,B742,B742RR,J
1PW029,B743,B747 346,JT9D-7R4G2,4,B743,B743PW,J
1PW030,A306,A300B4 620,JT9D-7R4H1,2,A306,A300B4-622,J
